"Subject","Topic","Difficulty","Question","Answer","Explanation","SpecReference"
"Physics","Waves - Refraction","Hard","The refractive index of glass is 1.5. Calculate the critical angle for a glass-air interface.","41.8°","sin(c) = 1/n = 1/1.5 = 0.667. c = sin^-1(0.667) ≈ 41.8°.","0625/5.3"
"Physics","Waves - Wave Equation","Hard","The wavelength of red light is 700 nm. Calculate its frequency. (c = 3 x 10^8 m/s)","4.3 x 10^14 Hz","700 nm = 7 x 10^-7 m. f = c/λ = 3 x 10^8 / 7 x 10^-7 ≈ 4.3 x 10^14 Hz.","0625/5.1"
"Physics","Electricity - Current","Easy","Define electric current.","The rate of flow of electric charge; I = Q/t; unit: ampere (A)","In metals current is the flow of free electrons. Conventional current direction is opposite to electron flow.","0625/6.1"
"Physics","Electricity - Ohm's Law","Easy","State Ohm's Law.","Current through a conductor is directly proportional to the potential difference across it at constant temperature; V = IR","Ohm's Law applies to ohmic conductors. Non-ohmic devices (diodes, LDRs, thermistors) do not follow this relationship.","0625/6.2"
"Physics","Electricity - Resistance","Easy","Calculate the resistance of a component with voltage 12 V and current 3 A.","4 Ω","R = V/I = 12/3 = 4 Ω.","0625/6.2"
"Physics","Electricity - Circuits","Easy","Two resistors of 6 Ω and 4 Ω are connected in series. Calculate the total resistance.","10 Ω","In series: R_total = R1 + R2 = 6 + 4 = 10 Ω.","0625/6.3"
"Physics","Electricity - Circuits","Medium","Two resistors of 6 Ω and 12 Ω are connected in parallel. Calculate the combined resistance.","4 Ω","1/R = 1/6 + 1/12 = 2/12 + 1/12 = 3/12 = 1/4. R = 4 Ω.","0625/6.3"
"Physics","Electricity - Power","Medium","Calculate the power dissipated in a 5 Ω resistor carrying a current of 2 A.","20 W","P = I^2 x R = 2^2 x 5 = 4 x 5 = 20 W.","0625/6.4"
"Physics","Electricity - Charge","Medium","Calculate the charge that flows when a current of 5 A passes for 30 s.","150 C","Q = It = 5 x 30 = 150 C.","0625/6.1"
"Physics","Electricity - Resistance","Medium","Explain why the resistance of a metal wire increases as temperature increases.","Metal ions vibrate more vigorously at higher temperature; free electrons collide more frequently with ions; electron flow is impeded; resistance increases.","Light bulb filaments have much higher resistance when hot than cold. This is why their I-V graph is non-linear.","0625/6.2"
"Physics","Electricity - Safety","Medium","Explain how a fuse protects an electrical circuit.","A fuse contains a thin wire rated at a specific current; if current exceeds this value the wire heats up and melts breaking the circuit; prevents overheating of wiring which could cause a fire.","A fuse should be rated slightly above normal operating current. Circuit breakers and RCDs provide additional protection.","0625/6.5"
"Physics","Electricity - Energy","Hard","An 800 W appliance is used for 2 hours. Calculate energy used in joules and the cost at 15p per kWh.","5.76 MJ; 24p","Energy = Pt = 800 x 7200 = 5 760 000 J = 5.76 MJ. In kWh: 0.8 x 2 = 1.6 kWh. Cost = 1.6 x 15p = 24p.","0625/6.4"
"Physics","Electricity - Internal Resistance","Hard","A battery has EMF 12 V and internal resistance 0.5 Ω connected to an external resistor of 5.5 Ω. Calculate the terminal potential difference.","11 V","Total R = 0.5 + 5.5 = 6 Ω. I = 12/6 = 2 A. Terminal pd = EMF − Ir = 12 − (2 x 0.5) = 11 V.","0625/6.3"
"Physics","Electricity - Kirchhoff","Hard","In a parallel circuit three branches carry 2 A, 3 A, and 1.5 A respectively. State the total current from the battery using Kirchhoff's First Law.","6.5 A","Kirchhoff's First Law: current into a junction equals current out. Total = 2 + 3 + 1.5 = 6.5 A.","0625/6.3"
"Physics","Magnetism - Fields","Easy","Describe the pattern of magnetic field lines around a bar magnet.","Lines run from North to South pole outside the magnet; lines are denser near the poles (stronger field); lines never cross; inside the magnet they run from South to North.","Magnetic field line density indicates field strength. Poles are where field lines are most concentrated.","0625/7.1"
"Physics","Magnetism - Materials","Easy","Name three magnetic materials.","Iron, nickel, cobalt (and alloys such as steel)","These ferromagnetic materials can be magnetised because their atomic magnetic domains can align with an external field.","0625/7.1"
"Physics","Magnetism - Electromagnets","Medium","Describe how to make an electromagnet and state two factors that affect its strength.","Coil of insulated wire wound around a soft iron core; pass DC current; core becomes magnetised. Strength increased by: more turns or larger current.","Soft iron is used because it is a temporary magnet easily magnetised and demagnetised. Steel would remain permanently magnetised.","0625/7.2"
"Physics","Magnetism - Motor Effect","Medium","Describe the motor effect and state the rule for finding the force direction.","A current-carrying conductor in a magnetic field experiences a force. Direction given by Fleming's Left-Hand Rule: First finger = Field; seCond finger = Current; thuMb = Motion.","The force is maximum when the conductor is perpendicular to the field and zero when parallel. Used in electric motors.","0625/7.3"
"Physics","Magnetism - Motor Effect","Medium","State three factors that affect the force on a current-carrying conductor in a magnetic field.","Magnitude of current; length of conductor in the field; magnetic flux density (field strength); angle between conductor and field (maximum at 90°).","F = BIL sin θ. Force doubles if current doubles or if flux density doubles. Maximum when conductor is perpendicular to field.","0625/7.3"
"Physics","Magnetism - Induction","Medium","Describe electromagnetic induction and state Faraday's Law.","A changing magnetic flux through a conductor induces an EMF; if the circuit is complete an induced current flows. Faraday's Law: induced EMF is proportional to the rate of change of magnetic flux.","Lenz's Law: the induced current opposes the change causing it (conservation of energy). Basis of generators and transformers.","0625/7.4"
"Physics","Magnetism - Transformers","Hard","Explain how a transformer works including the role of the soft iron core.","AC in primary coil creates changing magnetic field; soft iron core channels changing flux to secondary coil; changing flux induces EMF in secondary (mutual induction); ratio: Vs/Vp = Ns/Np.","Transformers only work with AC because a changing field is needed. Soft iron allows rapid magnetisation and demagnetisation.","0625/7.5"
"Physics","Magnetism - Transformers","Hard","A transformer has primary voltage 230 V with 1000 turns and 50 secondary turns. Calculate secondary voltage and state the transformer type.","11.5 V; step-down transformer","Vs/Vp = Ns/Np. Vs = 230 x (50/1000) = 11.5 V. Fewer secondary turns → lower output voltage → step-down.","0625/7.5"
"Physics","Radioactivity - Types","Easy","Describe alpha radiation.","Helium nuclei (2 protons + 2 neutrons); charge +2; mass number 4; strongly ionising; stopped by a few cm of air or a sheet of paper.","Alpha particles are the least penetrating but most ionising form of radiation. They are dangerous if the radioactive source is ingested.","0625/8.1"
"Physics","Radioactivity - Half-Life","Easy","Define half-life.","The time for half the radioactive nuclei in a sample to decay; equivalently the time for activity to fall to half its initial value.","Half-life is constant for a given isotope and ranges from fractions of a second to billions of years. It cannot be changed by chemical or physical processes.","0625/8.2"
"Physics","Radioactivity - Types","Medium","Compare the penetrating ability and ionising power of alpha, beta, and gamma radiation.","Alpha: paper stops it; most ionising. Beta: 5 mm aluminium stops it; intermediate. Gamma: reduced by thick lead or concrete; least ionising; most penetrating.","Alpha particles are large and slow causing many ionisations per unit path. Gamma photons travel at light speed and interact much less frequently.","0625/8.1"
"Physics","Radioactivity - Half-Life","Medium","A radioactive sample has initial activity 800 Bq and half-life 2 years. Calculate activity after 6 years.","100 Bq","6 years = 3 half-lives (6/2 = 3). 800 → 400 → 200 → 100 Bq.","0625/8.2"
"Physics","Radioactivity - Nuclear Equations","Medium","Write a nuclear equation for the alpha decay of radium-226 (atomic number 88).","Ra-226(88) → Rn-222(86) + He-4(2); i.e. 226_88Ra → 222_86Rn + 4_2He","Alpha decay: mass number decreases by 4; atomic number decreases by 2. Conservation of mass number and atomic number must hold.","0625/8.3"
"Physics","Radioactivity - Applications","Medium","Describe three uses of radioactive isotopes.","Medical: gamma radiation in radiotherapy; iodine-131 for thyroid treatment; technetium-99m for imaging. Industrial: detecting leaks; thickness gauges. Archaeological: carbon-14 dating.","Radioactive tracers are used in medical imaging. Gamma sterilisation is used for medical equipment. Carbon dating uses known C-14 half-life.","0625/8.4"
"Physics","Radioactivity - Safety","Hard","Describe safety precautions when handling radioactive sources in a school laboratory.","Use tongs (maximise distance); work behind lead or perspex shield; wear dosimeter badge; minimise exposure time; store sources in lead-lined container; never point at people; wash hands after use.","These precautions minimise dose by increasing distance (inverse square law applies to gamma); shielding; and reducing time of exposure.","0625/8.5"
"Physics","Radioactivity - Half-Life","Hard","A wood sample contains 1/8 of its original C-14 activity. The half-life of C-14 is 5730 years. Estimate the age of the sample.","17 190 years","1/8 = (1/2)^3 so 3 half-lives have elapsed. Age = 3 x 5730 = 17 190 years.","0625/8.2"
